Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 01, 2023",425.17,461.55,413.46,459.77,459.77,"278,954,800"
"Jun 01, 2023",384.89,439.9,373.56,423.02,422.98,"1,052,209,200"
"May 01, 2023",278.4,419.38,272.4,378.34,378.3,"1,169,636,000"
"Apr 01, 2023",275.09,281.1,262.2,277.49,277.46,"743,592,100"
"Mar 01, 2023",231.92,278.34,222.97,277.77,277.69,"1,126,373,100"
"Feb 01, 2023",196.91,238.88,196.11,232.16,232.1,"1,039,347,900"
"Jan 01, 2023",148.51,206.28,140.34,195.37,195.32,"945,496,000"
"Dec 01, 2022",169.99,187.9,138.84,146.14,146.1,"894,615,200"
"Nov 01, 2022",138.11,169.98,129.56,169.23,169.14,"1,060,060,300"
"Oct 01, 2022",123.47,138.5,108.13,134.97,134.9,"1,254,927,700"
"Sep 01, 2022",142.09,145.47,119.46,121.39,121.29,"1,313,057,800"
"Aug 01, 2022",181.82,192.74,149.59,150.94,150.82,"1,206,964,800"
"Jul 01, 2022",148.99,182.44,140.55,181.63,181.48,"1,056,447,600"
"Jun 01, 2022",187.24,196.19,148.62,151.59,151.43,"1,055,479,100"
"May 01, 2022",185.41,204.0,155.67,186.72,186.53,"1,383,302,100"
"Apr 01, 2022",273.75,275.58,182.9,185.47,185.28,"1,111,439,000"
"Mar 01, 2022",242.91,289.46,206.5,272.86,272.53,"1,164,459,900"
"Feb 01, 2022",251.04,269.25,208.9,243.85,243.56,"1,064,427,000"
"Jan 01, 2022",298.15,307.11,208.88,244.86,244.56,"1,068,216,400"
"Dec 01, 2021",332.19,332.89,271.45,294.11,293.72,"1,105,850,500"
"Nov 01, 2021",256.49,346.47,252.27,326.76,326.33,"1,081,117,000"
"Oct 01, 2021",207.5,257.09,195.55,255.67,255.33,"497,107,800"
"Sep 01, 2021",224.85,229.86,204.67,207.16,206.88,"499,898,600"
"Aug 01, 2021",197.0,230.43,187.62,223.85,223.51,"641,638,600"
"Jul 01, 2021",201.25,208.75,178.65,194.99,194.7,"782,307,700"
"Jun 01, 2021",162.7,201.63,159.03,200.02,199.68,"1,027,329,200"
"May 01, 2021",151.25,162.77,134.59,162.45,162.16,"705,438,000"
"Apr 01, 2021",135.72,162.14,135.11,150.1,149.83,"671,879,600"
"Mar 01, 2021",138.75,139.25,115.67,133.48,133.21,"764,865,600"
"Feb 01, 2021",130.53,153.73,129.03,137.15,136.86,"668,032,400"
"Jan 01, 2021",131.04,139.99,125.86,129.9,129.63,"615,417,200"
"Dec 01, 2020",134.92,137.31,127.63,130.55,130.24,"512,099,600"
"Nov 01, 2020",126.58,146.91,123.95,134.01,133.7,"759,482,000"
"Oct 01, 2020",137.58,143.49,123.0,125.34,125.04,"802,235,600"
"Sep 01, 2020",134.8,147.27,117.04,135.3,134.94,"1,585,655,200"
"Aug 01, 2020",107.32,135.75,107.15,133.74,133.39,"967,254,400"
"Jul 01, 2020",95.21,107.92,94.13,106.15,105.86,"809,445,200"
"Jun 01, 2020",88.33,96.43,86.58,94.98,94.68,"971,946,400"
"May 01, 2020",71.09,91.82,70.21,88.75,88.48,"1,254,887,600"
"Apr 01, 2020",63.91,76.05,59.6,73.07,72.84,"1,127,830,400"
"Mar 01, 2020",69.22,71.22,45.17,65.9,65.69,"1,577,395,200"
"Feb 01, 2020",58.92,79.08,58.86,67.52,67.27,"1,184,865,200"
"Jan 01, 2020",59.69,64.88,57.82,59.11,58.89,"612,541,200"
"Dec 01, 2019",54.12,60.45,50.09,58.83,58.61,"654,353,200"
"Nov 01, 2019",49.9,55.35,49.65,54.19,53.94,"732,180,000"
"Oct 01, 2019",43.75,52.22,42.53,50.26,50.03,"769,617,200"
"Sep 01, 2019",41.15,47.1,40.81,43.52,43.32,"634,776,800"
"Aug 01, 2019",42.28,43.36,36.85,41.88,41.65,"945,032,800"
"Jul 01, 2019",43.14,44.72,38.75,42.18,41.95,"841,598,400"
"Jun 01, 2019",33.98,41.34,33.15,41.06,40.83,"823,334,000"
"May 01, 2019",45.78,46.22,33.85,33.87,33.64,"1,118,075,200"
"Apr 01, 2019",45.81,48.37,43.33,45.25,44.95,"943,778,000"
"Mar 01, 2019",39.07,46.25,36.2,44.89,44.59,"1,206,854,000"
"Feb 01, 2019",36.13,41.32,35.65,38.56,38.27,"1,144,572,800"
"Jan 01, 2019",32.66,40.22,31.92,35.94,35.66,"1,687,099,200"
"Dec 01, 2018",43.15,43.67,31.11,33.38,33.12,"1,245,140,800"
"Nov 01, 2018",53.08,55.5,33.33,40.86,40.51,"1,616,234,000"
"Oct 01, 2018",71.04,73.19,44.0,52.71,52.25,"1,297,797,600"
"Sep 01, 2018",70.04,71.31,64.67,70.25,69.65,"634,020,000"
"Aug 01, 2018",61.53,70.43,59.68,70.17,69.53,"1,091,783,600"
"Jul 01, 2018",58.52,64.15,58.31,61.22,60.66,"632,187,600"
"Jun 01, 2018",63.5,67.3,58.75,59.22,58.68,"878,554,000"
"May 01, 2018",56.14,65.13,55.55,63.05,62.43,"1,197,824,000"
"Apr 01, 2018",57.19,59.81,52.58,56.22,55.68,"1,114,400,800"
"Mar 01, 2018",60.48,63.63,54.25,57.9,57.33,"1,411,844,000"
"Feb 01, 2018",59.63,62.99,51.0,60.5,59.87,"1,491,552,800"
"Jan 01, 2018",48.94,62.32,48.63,61.45,60.81,"1,145,621,600"
"Dec 01, 2017",49.83,50.08,45.15,48.38,47.87,"1,011,221,600"
"Nov 01, 2017",52.34,54.67,47.81,50.18,49.62,"1,183,089,600"
"Oct 01, 2017",45.2,51.97,44.25,51.7,51.13,"1,142,266,400"
"Sep 01, 2017",42.49,47.8,40.68,44.69,44.2,"1,444,733,600"
"Aug 01, 2017",40.53,43.64,38.23,42.36,41.86,"1,472,821,600"
"Jul 01, 2017",36.26,42.48,34.65,40.63,40.14,"1,549,101,600"
"Jun 01, 2017",36.25,42.13,35.53,36.14,35.71,"2,344,552,000"
"May 01, 2017",26.18,36.75,25.58,36.09,35.62,"1,920,944,400"
"Apr 01, 2017",27.24,27.41,23.87,26.08,25.74,"957,257,200"
"Mar 01, 2017",25.95,27.5,23.79,27.23,26.88,"1,428,896,000"
"Feb 01, 2017",27.65,30.23,23.92,25.37,25.01,"1,420,678,800"
"Jan 01, 2017",26.1,27.97,24.78,27.3,26.91,"1,339,684,000"
"Dec 01, 2016",23.02,29.98,21.19,26.68,26.31,"1,808,222,800"
"Nov 01, 2016",17.85,23.81,16.65,23.05,22.69,"1,276,746,400"
"Oct 01, 2016",17.13,18.24,15.93,17.79,17.51,"655,156,800"
"Sep 01, 2016",15.35,17.3,14.33,17.13,16.86,"866,525,200"
"Aug 01, 2016",14.34,15.88,13.88,15.34,15.07,"930,512,000"
"Jul 01, 2016",11.69,14.31,11.51,14.27,14.03,"721,005,200"
"Jun 01, 2016",11.63,12.14,11.14,11.75,11.55,"819,790,000"
"May 01, 2016",8.97,11.7,8.6,11.68,11.45,"1,036,783,600"
"Apr 01, 2016",8.85,9.36,8.66,8.88,8.7,"673,425,200"
"Mar 01, 2016",7.86,9.06,7.76,8.91,8.73,"657,790,400"
"Feb 01, 2016",7.32,8.03,6.19,7.84,7.66,"900,004,800"
